Phylum_name,Subphylum_name,Class_name,Order_name,Family_name,file,Species
Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Helotiaceae,Bissp1,Bisporella sp. PMI_857 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Polyporales,Phanerochaetaceae,Bjead1_1,Bjerkandera adusta v1.0
Mucoromycota,Mucoromycotina,Incertae_sedis,Mucorales,Choanephoraceae,Blatri1,Blakeslea trispora NRRL 2456 v1.0
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Arxad1,Blastobotrys (Arxula) adeninivorans
Blastocladiomycota,Incertae_sedis,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Blabri1,Blastocladiella britannica v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blade1,Blastomyces dermatitidis SLH14081
Ascomycota,Pezizomycotina,Leotiomycetes,Erysiphales,Erysiphaceae,Blugr2,Blumeria graminis f. sp. hordei DH14
Ascomycota,Pezizomycotina,Leotiomycetes,Erysiphales,Erysiphaceae,BlugrR1_1,Blumeria graminis f. sp. hordei Race1
Ascomycota,Pezizomycotina,Leotiomycetes,Erysiphales,Erysiphaceae,Blugra1,Blumeria graminis f. sp. tritici 96224
Chytridiomycota,Incertae_sedis,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Blyhe1,Blyttiomyces helicus single-cell v1.0
Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Boeex1,Boeremia exigua MPI-SDFR-AT-0100 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Bolbitiaceae,Bolvit1,Bolbitius vitellinus SZMC-NL-1974 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Boletales,Boletaceae,Boled1,Boletus edulis v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Bombom1,Bombardia bombarda SMH3391-2 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botbo1,Botryobasidium botryosum v1.0
Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botdo1_1,Botryosphaeria dothidea
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Trigonopsidaceae,Botmuc1,Botryozyma mucatilis CBS 9042 v1.0
Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botci1,Botrytis cinerea v1.0
Ascomycota,Pezizomycotina,Leotiomycetes,Leotiales,Bulgariaceae,Bulin1,Bulgaria inquinans CBS118.31 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssp1,Byssochlamys spectabilis No. 5
Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Massarinaceae,Bysci1,Byssothecium circinans CBS 675.92 v1.0
Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Incertae_sedis,Cadsp1,Cadophora sp. DSE1049 v1.0
Neocallimastigomycota,Incertae_sedis,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Caecom1,Caecomyces churrovis A v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Coryneliales,Coryneliaceae,Calor1,Caliciopsis orientalis
Basidiomycota,Agaricomycotina,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calco1,Calocera cornea v1.0
Basidiomycota,Agaricomycotina,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calvi1,Calocera viscosa v1.0
Ascomycota,Pezizomycotina,Pezizomycetes,Pezizales,Caloscyphaceae,Calful1,Caloscypha fulgens ATCC 42695 v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Calosphaeriales,Calosphaeriaceae,Calpu1,Calosphaeria pulchella
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Canalb1,Candida albicans SC5314
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Canar1,Candida arabinofermentans NRRL YB-2248 v1.0
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Canta1,Candida tanzawaensis NRRL Y-17324
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Cante1,Candida tenuis NRRL Y-1498 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Cantharellales,Cantharellaceae,Cananz1,Cantharellus anzutake C23 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capcor1,Capronia coronata CBS 617.96
